Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.034703,-0.030762,0.4133,0,0,0,29.169,1.8151,6.2642E-05,-3.4057E-05,2.0404,-0.15331,1.8019,0,0,0,0,0,0,package://Wheelchair3/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://Wheelchair3/meshes/base_link.STL,,Arm Holder-1;back-3;armpad-2;Main Chassis-1;grip-1;Arm-1;seat-2;Arm-3;armpad-1;grip-2;Lidar Holder-1;1M3-1/1M3A-1;1M3-1/Pulley M5-1;1M3-1/Nema 17 Llarg-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base_arm_link,-1.3127E-05,2.693E-05,0.033518,0,0,0,4.8005,0.010588,0.00016585,-3.0501E-07,0.0095576,-2.8798E-07,0.0096309,0,0,0,0,0,0,package://Wheelchair3/meshes/base_arm_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Wheelchair3/meshes/base_arm_link.STL,,BCN3D Moveo assembly-4/2M1 assembly-2/Nema 23-1;BCN3D Moveo assembly-4/2M1 assembly-2/2M1D-1;BCN3D Moveo assembly-4/Rotary Plate-1/1M2A-1;BCN3D Moveo assembly-4/2M1 assembly-2/Nema 23-2;BCN3D Moveo assembly-4/2M1 assembly-2/Tapa 2M1C-3;BCN3D Moveo assembly-4/Tapa 2M1C-2;BCN3D Moveo assembly-4/2M1 assembly-2/Pulley 8mm IGNIS-1;BCN3D Moveo assembly-4/2M1 assembly-2/M5x15-2;BCN3D Moveo assembly-4/2M1 assembly-2/Pulley 8mm IGNIS-2;BCN3D Moveo assembly-4/2M1 assembly-2/M5x15-5;BCN3D Moveo assembly-4/M8x65-1;BCN3D Moveo assembly-4/1M1B-1,Base_COO,Base_Axis,base_arm_joint,continuous,0.4509,-0.092225,0.72154,0,0,-1.5708,base_link,0,0,1,,,,,,,,,,,,
shoulder_link,-0.0031383,0.0013275,0.079004,0,0,0,1.9087,0.0049688,1.8849E-05,7.3395E-05,0.0048564,2.1387E-05,0.0028977,0,0,0,0,0,0,package://Wheelchair3/meshes/shoulder_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Wheelchair3/meshes/shoulder_link.STL,,BCN3D Moveo assembly-4/2M2-2/2M2HA-1;BCN3D Moveo assembly-4/2M2-2/2M2MA-1;BCN3D Moveo assembly-4/3M1-2/3M1D-1;BCN3D Moveo assembly-4/3M1-2/Pulley 8mm IGNIS-1;BCN3D Moveo assembly-4/3M1-2/Nema 17 Reductor-1;BCN3D Moveo assembly-4/Tapa 3M1C-3;BCN3D Moveo assembly-4/Tapa 3M1C-2;BCN3D Moveo assembly-4/3M1-2/M3x40-1,Shoulder_COO,Shoulder_Axis,shoulder_joint,revolute,0,0,0.1402,0,0,0,base_arm_link,0.15516,-0.98789,0,0,0,-3.14,3.14,,,,,,,,
geared_link,-3.6626E-06,-0.00065071,0.037984,0,0,0,0.65465,0.0016892,-4.2235E-05,3.7434E-07,0.0019515,-2.1176E-06,0.00042425,0,0,0,0,0,0,package://Wheelchair3/meshes/geared_link.STL,1,1,1,1,0,0,0,0,0,0,package://Wheelchair3/meshes/geared_link.STL,,BCN3D Moveo assembly-4/3M2-2/3M2CC-1;BCN3D Moveo assembly-4/3M2-2/3M2C-1,Geared_COO,Gear_Axis,geared_joint,revolute,-0.0079515,-0.0012489,0.22098,0,0,0,shoulder_link,-0.15516,0.98789,0,0,0,-3.665,3.665,,,,,,,,
arm_link,-0.0011585,0.010519,0.04396,0,0,0,0.61707,0.00066348,1.0914E-05,9.9804E-06,0.0005735,5.7394E-07,0.00036176,0,0,0,0,0,0,package://Wheelchair3/meshes/arm_link.STL,0.29412,0.29412,0.29412,1,0,0,0,0,0,0,package://Wheelchair3/meshes/arm_link.STL,,BCN3D Moveo assembly-4/4M-1/4M1D-1;BCN3D Moveo assembly-4/4M-1/TBC-1;BCN3D Moveo assembly-4/4M-1/M1 Tensor D-1/Bearing 3Bore 10Ext 4Height-2;BCN3D Moveo assembly-4/4M-1/M1 Tensor D-1/Bearing 3Bore 10Ext 4Height-3;BCN3D Moveo assembly-4/4M-1/M1 Tensor D-1/Bearing 3Bore 10Ext 4Height-1;BCN3D Moveo assembly-4/4M-1/M1 Tensor D-1/T4M1E-1;BCN3D Moveo assembly-4/4M-1/Pulley M5-1;BCN3D Moveo assembly-4/4M-1/Nema 14-1;BCN3D Moveo assembly-4/4M-1/M3x35-1;BCN3D Moveo assembly-4/4M-1/Tapa 4M1D-2,Arm_COO,Arm_Axis,arm_link,continuous,-6.4191E-05,-1.0082E-05,0.128,0,0,0,geared_link,0.00050149,7.8765E-05,-1,,,,,,,,,,,,
wrist_link,-0.0029994,-0.00015876,0.013034,0,0,0,0.19056,8.1806E-05,-3.6769E-06,4.5934E-06,0.00011282,3.3203E-07,6.3586E-05,0,0,0,0,0,0,package://Wheelchair3/meshes/wrist_link.STL,0.098039,0.098039,0.098039,1,0,0,0,0,0,0,package://Wheelchair3/meshes/wrist_link.STL,,BCN3D Moveo assembly-4/4M-1/4M2-1/4M2B-1;BCN3D Moveo assembly-4/4M-1/4M2-1/4M2CB-1;BCN3D Moveo assembly-4/4M-1/Gripper B Assembly-1/Bottom Plate C-1;BCN3D Moveo assembly-4/4M-1/Gripper B Assembly-1/Top Plate C-1;BCN3D Moveo assembly-4/4M-1/Gripper B Assembly-1/2-1/Servo Futaba S3003-1,Wrist_COO,Wrist_Axis,wrist_joint,revolute,0.00010752,-0.00099537,0.095,0,0,0,arm_link,-0.12076,0.99268,1.763E-05,0,0,-3.14,3.14,,,,,,,,
gripper_link,-0.0024423,-0.00039792,0.066784,0,0,0,0.033769,1.0235E-05,5.8578E-08,1.9498E-06,9.7559E-06,2.3938E-07,2.7885E-06,0,0,0,0,0,0,package://Wheelchair3/meshes/gripper_link.STL,0.6,1,0.27843,1,0,0,0,0,0,0,package://Wheelchair3/meshes/gripper_link.STL,,BCN3D Moveo assembly-4/4M-1/Gripper B Assembly-1/Gripper Left B-1;BCN3D Moveo assembly-4/4M-1/Gripper B Assembly-1/Pivot Arm B-2;BCN3D Moveo assembly-4/4M-1/Gripper B Assembly-1/Idol Gear B-1;BCN3D Moveo assembly-4/4M-1/Gripper B Assembly-1/Gripper Right B-1;BCN3D Moveo assembly-4/4M-1/Gripper B Assembly-1/Pivot Arm B-1;BCN3D Moveo assembly-4/4M-1/Gripper B Assembly-1/Servo Gear B-1;BCN3D Moveo assembly-4/4M-1/Gripper B Assembly-1/Cilinder-2,Gripper_COO,Gripper_Axis,gripper_joint,prismatic,-0.022909,-0.0027874,0.036528,0,0,0,wrist_link,0.12076,-0.99268,-1.763E-05,0,0,0,0,,,,,,,,
camera_link,-0.00092571,-0.00011265,0.002395,0,0,0,0.021726,9.1161E-05,1.078E-05,-1.9517E-07,3.8546E-06,-2.5353E-08,9.3219E-05,0,0,0,0,0,0,package://Wheelchair3/meshes/camera_link.STL,0,0,0,1,0,0,0,0,0,0,package://Wheelchair3/meshes/camera_link.STL,,Simple camera design-1,Camera_COO,Camera_Axis,camera_joint,fixed,-0.040904,-0.0049768,0.054707,0,0,0,wrist_link,0,0,0,,,,,,,,,,,,
rb_link,4.8728E-06,0.03315,-2.4291E-12,0,0,0,1.6462,0.0038177,-4.488E-07,3.5076E-10,0.0068489,-1.6695E-14,0.0038176,0,0,0,0,0,0,package://Wheelchair3/meshes/rb_link.STL,0.79608,0.82353,0.93725,1,0,0,0,0,0,0,package://Wheelchair3/meshes/rb_link.STL,,Hoverboard 8-1,RB_COO,RB_Axis,rb_joint,continuous,-0.29763,0.15869,0.098,0,0,-1.5708,base_link,0,-1,0,,,,,,,,,,,,
lb_link,4.8728E-06,-0.03315,2.4291E-12,0,0,0,1.6462,0.0038177,4.488E-07,-3.5076E-10,0.0068489,-1.6694E-14,0.0038176,0,0,0,0,0,0,package://Wheelchair3/meshes/lb_link.STL,0.79608,0.82353,0.93725,1,0,0,0,0,0,0,package://Wheelchair3/meshes/lb_link.STL,,Hoverboard 8-2,LB_COO,LB_Axis,lb_joint,continuous,0.29763,0.15869,0.098,0,0,-1.5708,base_link,0,1,0,,,,,,,,,,,,
